date,product,orders,buyouts,price,cpc,drr,ctr,cr,clicks,cart_adds
2026-04-01,Игрушка мягкая мишка,61,50,789,16.17,70.4,0.89,0.71,9069,114
2026-04-01,Конструктор LEGO City,49,44,2499,21.17,84.6,1.23,0.87,5717,89
2026-04-01,Пазл 1000 деталей,33,27,599,10.83,61.6,0.88,0.78,2878,41
2026-04-01,Машинка инерционная,80,72,349,8.08,42.8,1.44,1.01,9824,194
2026-04-01,Кукла с аксессуарами,56,45,1299,18.44,74.2,1.15,0.91,6938,114
2026-04-01,Набор для творчества,43,35,899,14.37,63.1,0.97,0.85,4444,75
2026-04-01,Мяч футбольный,68,59,499,10.83,57.7,0.94,1.01,6298,117
2026-04-01,Книга детская,22,18,299,6.24,41.1,0.76,0.68,3236,36
2026-04-01,Набор кухонный,41,34,1599,18.48,79.4,0.97,0.84,4293,84
2026-04-01,Самокат складной,17,13,3999,26.1,86.5,0.61,0.62,2398,33
2026-04-02,Игрушка мягкая мишка,65,58,789,17.32,71.6,0.92,0.69,10166,185
2026-04-02,Конструктор LEGO City,38,31,2499,23.27,85.0,1.04,0.97,5039,90
2026-04-02,Пазл 1000 деталей,27,24,599,12.66,61.3,0.91,0.78,3554,58
2026-04-02,Машинка инерционная,89,77,349,7.62,44.7,1.31,1.16,12251,199
2026-04-02,Кукла с аксессуарами,64,58,1299,17.21,76.2,1.02,0.82,5388,76
2026-04-02,Набор для творчества,44,39,899,13.46,66.7,0.85,0.71,4149,51
2026-04-02,Мяч футбольный,69,61,499,10.42,53.5,1.26,0.94,6558,73
2026-04-02,Книга детская,29,26,299,6.11,40.9,0.76,0.66,2664,30
2026-04-02,Набор кухонный,38,32,1599,20.83,80.3,0.75,0.86,3686,49
2026-04-02,Самокат складной,17,15,3999,29.48,89.7,0.57,0.5,2501,36
2026-04-03,Игрушка мягкая мишка,79,73,789,15.82,69.5,0.68,0.76,7920,95
2026-04-03,Конструктор LEGO City,49,41,2499,20.76,81.3,1.16,0.88,5853,91
2026-04-03,Пазл 1000 деталей,35,30,599,11.04,62.8,1.01,0.7,2908,44
2026-04-03,Машинка инерционная,94,86,349,7.47,43.3,1.28,1.12,10056,117
2026-04-03,Кукла с аксессуарами,62,58,1299,16.39,73.6,1.06,0.74,5041,72
2026-04-03,Набор для творчества,46,40,899,13.46,67.6,0.9,0.82,4876,94
2026-04-03,Мяч футбольный,67,56,499,9.91,56.6,1.25,0.84,8329,92
2026-04-03,Книга детская,24,20,299,6.05,39.7,0.75,0.68,3445,36
2026-04-03,Набор кухонный,39,32,1599,19.92,83.4,0.73,0.71,3484,61
2026-04-03,Самокат складной,17,14,3999,28.34,93.3,0.74,0.53,2413,45
2026-04-04,Игрушка мягкая мишка,65,53,789,15.4,68.1,0.83,0.73,9160,125
2026-04-04,Конструктор LEGO City,40,37,2499,21.55,85.9,1.07,1.03,4725,89
2026-04-04,Пазл 1000 деталей,33,28,599,11.13,59.7,0.82,0.8,3601,36
2026-04-04,Машинка инерционная,87,78,349,8.21,43.3,1.62,1.02,10866,160
2026-04-04,Кукла с аксессуарами,47,39,1299,19.35,71.7,0.9,0.73,5391,89
2026-04-04,Набор для творчества,34,31,899,15.23,67.5,0.83,0.83,4419,80
2026-04-04,Мяч футбольный,56,49,499,10.85,55.1,1.26,0.85,7799,151
2026-04-04,Книга детская,28,23,299,5.5,41.1,0.72,0.65,2677,41
2026-04-04,Набор кухонный,29,26,1599,18.94,76.4,0.8,0.86,3915,69
2026-04-04,Самокат складной,17,15,3999,27.53,88.7,0.57,0.49,2420,39
2026-04-05,Игрушка мягкая мишка,71,57,789,15.67,69.7,0.85,0.87,10162,121
2026-04-05,Конструктор LEGO City,45,41,2499,20.84,86.6,1.25,0.83,5866,85
2026-04-05,Пазл 1000 деталей,31,24,599,11.94,58.2,0.88,0.77,3788,71
2026-04-05,Машинка инерционная,85,77,349,8.34,47.0,1.55,1.11,11498,158
2026-04-05,Кукла с аксессуарами,62,58,1299,18.14,74.7,1.09,0.81,4952,81
2026-04-05,Набор для творчества,44,35,899,14.42,62.5,0.81,0.84,4155,58
2026-04-05,Мяч футбольный,59,55,499,10.63,57.4,0.98,0.78,7151,108
2026-04-05,Книга детская,28,23,299,6.37,39.5,0.76,0.55,3283,63
2026-04-05,Набор кухонный,28,25,1599,20.68,77.1,0.96,0.84,3475,59
2026-04-05,Самокат складной,21,18,3999,27.45,88.5,0.64,0.62,2196,31
2026-04-06,Игрушка мягкая мишка,58,48,789,15.81,71.3,0.69,0.86,8125,143
2026-04-06,Конструктор LEGO City,37,31,2499,19.82,82.3,1.21,1.02,4033,63
2026-04-06,Пазл 1000 деталей,24,21,599,13.15,57.4,0.96,0.63,4189,51
2026-04-06,Машинка инерционная,82,75,349,7.53,45.2,1.66,0.94,10016,175
2026-04-06,Кукла с аксессуарами,48,38,1299,16.3,78.0,1.0,0.96,5094,88
2026-04-06,Набор для творчества,43,38,899,13.91,66.0,0.87,0.74,4954,91
2026-04-06,Мяч футбольный,62,56,499,9.22,55.1,1.19,0.98,8296,115
2026-04-06,Книга детская,20,17,299,5.64,40.6,0.72,0.53,3296,63
2026-04-06,Набор кухонный,31,27,1599,21.57,78.9,0.78,0.69,3788,43
2026-04-06,Самокат складной,19,16,3999,29.28,92.2,0.61,0.58,2357,34
2026-04-07,Игрушка мягкая мишка,83,69,789,14.82,67.0,0.79,0.81,9272,167
2026-04-07,Конструктор LEGO City,41,34,2499,20.13,84.5,1.26,0.96,5982,89
2026-04-07,Пазл 1000 деталей,35,29,599,11.09,59.2,0.78,0.78,4155,78
2026-04-07,Машинка инерционная,88,73,349,8.5,43.7,1.49,1.18,12104,170
2026-04-07,Кукла с аксессуарами,63,57,1299,18.98,71.4,1.01,0.96,7019,130
2026-04-07,Набор для творчества,39,36,899,15.24,66.0,0.9,0.74,4314,45
2026-04-07,Мяч футбольный,57,52,499,9.12,55.2,1.22,0.82,7450,142
2026-04-07,Книга детская,25,20,299,5.61,40.9,0.8,0.54,2947,56
2026-04-07,Набор кухонный,35,28,1599,21.76,84.0,0.79,0.73,4312,55
2026-04-07,Самокат складной,18,16,3999,25.95,91.3,0.72,0.55,2607,37
2026-04-08,Игрушка мягкая мишка,74,62,789,15.47,70.6,0.85,0.91,9968,103
2026-04-08,Конструктор LEGO City,51,47,2499,23.98,82.5,1.33,0.9,5619,75
2026-04-08,Пазл 1000 деталей,30,26,599,12.09,59.4,0.77,0.63,3001,50
2026-04-08,Машинка инерционная,68,58,349,7.53,45.3,1.46,1.15,10458,190
2026-04-08,Кукла с аксессуарами,49,40,1299,18.65,76.7,1.11,0.8,6321,80
2026-04-08,Набор для творчества,34,30,899,14.64,63.8,1.06,0.73,3715,47
2026-04-08,Мяч футбольный,55,45,499,9.28,54.8,1.13,0.85,6142,100
2026-04-08,Книга детская,25,20,299,6.09,41.4,0.71,0.55,2526,45
2026-04-08,Набор кухонный,30,28,1599,21.5,83.1,0.87,0.7,3232,41
2026-04-08,Самокат складной,18,17,3999,29.64,92.8,0.69,0.57,2857,50
2026-04-09,Игрушка мягкая мишка,57,49,789,15.83,67.0,0.76,0.89,10016,117
2026-04-09,Конструктор LEGO City,53,42,2499,21.84,87.3,1.23,0.94,4093,60
2026-04-09,Пазл 1000 деталей,26,22,599,11.73,61.9,0.88,0.77,3440,65
2026-04-09,Машинка инерционная,96,85,349,8.67,44.6,1.65,1.05,13845,174
2026-04-09,Кукла с аксессуарами,45,36,1299,18.02,75.8,0.98,0.84,4805,59
2026-04-09,Набор для творчества,46,42,899,12.97,67.8,1.03,0.76,4621,68
2026-04-09,Мяч футбольный,67,59,499,9.39,55.9,1.18,0.91,7486,92
2026-04-09,Книга детская,24,20,299,5.71,38.4,0.7,0.56,2979,31
2026-04-09,Набор кухонный,34,31,1599,18.35,80.7,0.89,0.7,4432,69
2026-04-09,Самокат складной,16,14,3999,27.52,85.6,0.74,0.55,2311,25
2026-04-10,Игрушка мягкая мишка,81,75,789,16.8,70.2,0.7,0.82,7622,78
2026-04-10,Конструктор LEGO City,46,40,2499,22.91,85.0,1.04,0.87,5120,78
2026-04-10,Пазл 1000 деталей,27,23,599,11.49,60.3,0.86,0.64,3432,61
2026-04-10,Машинка инерционная,71,57,349,7.62,46.2,1.54,1.02,12012,172
